date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:03:18	42572/42572	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:16%20GMT	http://www.themestarz.net/html/universo/index2.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/index2.html	(from )
01:03:18	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Aug%202021%2005:14:45%20GMT	http://www.themestarz.net/robots.txt		(from )
01:03:19	21658/21658	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Nov%202014%2007:18:31%20GMT	http://www.themestarz.net/html/universo/assets/css/font-awesome.css	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/css/font-awesome.css	(from http://www.themestarz.net/html/universo/index2.html)
01:03:20	121220/121220	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Nov%202014%2007:18:07%20GMT	http://www.themestarz.net/html/universo/assets/bootstrap/css/bootstrap.css	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/bootstrap/css/bootstrap.css	(from http://www.themestarz.net/html/universo/index2.html)
01:03:21	8484/8484	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Nov%202014%2007:18:36%20GMT	http://www.themestarz.net/html/universo/assets/css/selectize.css	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/css/selectize.css	(from http://www.themestarz.net/html/universo/index2.html)
01:03:21	1483/1483	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Nov%202014%2007:18:35%20GMT	http://www.themestarz.net/html/universo/assets/css/owl.carousel.css	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/css/owl.carousel.css	(from http://www.themestarz.net/html/universo/index2.html)
01:03:22	4465/4465	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Nov%202014%2007:18:41%20GMT	http://www.themestarz.net/html/universo/assets/css/vanillabox/vanillabox.css	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/css/vanillabox/vanillabox.css	(from http://www.themestarz.net/html/universo/index2.html)
01:03:23	99321/99321	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Nov%202014%2007:18:38%20GMT	http://www.themestarz.net/html/universo/assets/css/style.css	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/css/style.css	(from http://www.themestarz.net/html/universo/index2.html)
01:03:24	1767/1767	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Jun%202018%2009:56:29%20GMT	http://www.themestarz.net/html/universo/index.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/index.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:25	7958/7958	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Nov%202014%2007:22:01%20GMT	http://www.themestarz.net/html/universo/assets/img/logo.png	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/img/logo.png	(from http://www.themestarz.net/html/universo/index2.html)
01:03:25	35921/35921	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:40%20GMT	http://www.themestarz.net/html/universo/homepage-courses.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/homepage-courses.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:25	33903/33903	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:17%20GMT	http://www.themestarz.net/html/universo/homepage-events.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/homepage-events.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:26	22234/22234	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:51%20GMT	http://www.themestarz.net/html/universo/course-landing-page.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/course-landing-page.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:26	23576/23576	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:30%20GMT	http://www.themestarz.net/html/universo/course-listing.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/course-listing.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:26	28856/28856	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:31%20GMT	http://www.themestarz.net/html/universo/course-listing-images.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/course-listing-images.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:27	62219/62219	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:24%20GMT	http://www.themestarz.net/html/universo/course-detail-v1.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/course-detail-v1.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:27	42606/42606	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:26%20GMT	http://www.themestarz.net/html/universo/course-detail-v2.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/course-detail-v2.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:28	35222/35222	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:27%20GMT	http://www.themestarz.net/html/universo/course-detail-v3.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/course-detail-v3.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:28	27821/27821	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:38%20GMT	http://www.themestarz.net/html/universo/event-listing-images.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/event-listing-images.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:28	27980/27980	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:36%20GMT	http://www.themestarz.net/html/universo/event-listing.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/event-listing.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:29	32637/32637	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:35%20GMT	http://www.themestarz.net/html/universo/event-grid.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/event-grid.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:29	27358/27358	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:34%20GMT	http://www.themestarz.net/html/universo/event-detail.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/event-detail.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:29	16023/16023	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:32%20GMT	http://www.themestarz.net/html/universo/event-calendar.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/event-calendar.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:30	23535/23535	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:19%20GMT	http://www.themestarz.net/html/universo/about-us.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/about-us.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:30	27107/27107	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:21%20GMT	http://www.themestarz.net/html/universo/blog-listing.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/blog-listing.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:30	32588/32588	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:20%20GMT	http://www.themestarz.net/html/universo/blog-detail.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/blog-detail.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:30	19373/19373	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:39%20GMT	http://www.themestarz.net/html/universo/full-width.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/full-width.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:31	25373/25373	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:42%20GMT	http://www.themestarz.net/html/universo/left-sidebar.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/left-sidebar.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:31	25333/25333	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:47%20GMT	http://www.themestarz.net/html/universo/right-sidebar.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/right-sidebar.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:31	24528/24528	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:53%20GMT	http://www.themestarz.net/html/universo/microsite.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/microsite.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:32	27766/27766	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:45%20GMT	http://www.themestarz.net/html/universo/my-account.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/my-account.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:32	28724/28724	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:44%20GMT	http://www.themestarz.net/html/universo/members.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/members.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:32	20897/20897	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:43%20GMT	http://www.themestarz.net/html/universo/member-detail.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/member-detail.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:33	16381/16381	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:46%20GMT	http://www.themestarz.net/html/universo/register-sign-in.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/register-sign-in.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:33	40970/40970	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:49%20GMT	http://www.themestarz.net/html/universo/shortcodes.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/shortcodes.html	(from http://www.themestarz.net/html/universo/index2.html)
01:03:33	20320/20320	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202014%2007:04:23%20GMT	http://www.themestarz.net/html/universo/contact-us.html	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/contact-us.html	(from http://www.themestarz.net/html/universo/index2.html)
01:04:01	169677/169677	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Nov%202014%2007:22:23%20GMT	http://www.themestarz.net/html/universo/assets/img/slide-1.jpg	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/img/slide-1.jpg	(from http://www.themestarz.net/html/universo/index2.html)
01:04:01	164741/164741	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Nov%202014%2007:22:26%20GMT	http://www.themestarz.net/html/universo/assets/img/slide-2.jpg	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/img/slide-2.jpg	(from http://www.themestarz.net/html/universo/index2.html)
01:04:01	164530/164530	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Nov%202014%2007:22:30%20GMT	http://www.themestarz.net/html/universo/assets/img/slide-3.jpg	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/img/slide-3.jpg	(from http://www.themestarz.net/html/universo/index2.html)
01:04:21	116956/116956	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Nov%202014%2007:22:41%20GMT	http://www.themestarz.net/html/universo/assets/img/student-testimonial.jpg	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/img/student-testimonial.jpg	(from http://www.themestarz.net/html/universo/index2.html)
01:04:21	113502/113502	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Nov%202014%2007:22:17%20GMT	http://www.themestarz.net/html/universo/assets/img/professor.jpg	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/img/professor.jpg	(from http://www.themestarz.net/html/universo/index2.html)
01:04:21	127567/127567	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Nov%202014%2007:22:44%20GMT	http://www.themestarz.net/html/universo/assets/img/students.jpg	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/img/students.jpg	(from http://www.themestarz.net/html/universo/index2.html)
01:04:33	69297/69297	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Nov%202014%2007:21:06%20GMT	http://www.themestarz.net/html/universo/assets/img/gallery-big-image.jpg	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/img/gallery-big-image.jpg	(from http://www.themestarz.net/html/universo/index2.html)
01:04:39	114401/114401	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Nov%202014%2007:22:14%20GMT	http://www.themestarz.net/html/universo/assets/img/professor-02.jpg	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/img/professor-02.jpg	(from http://www.themestarz.net/html/universo/index2.html)
01:04:41	120022/120022	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Nov%202014%2007:21:09%20GMT	http://www.themestarz.net/html/universo/assets/img/image-01.jpg	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/img/image-01.jpg	(from http://www.themestarz.net/html/universo/index2.html)
01:04:52	119861/119861	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Nov%202014%2007:21:12%20GMT	http://www.themestarz.net/html/universo/assets/img/image-02.jpg	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/img/image-02.jpg	(from http://www.themestarz.net/html/universo/index2.html)
01:04:58	118226/118226	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Nov%202014%2007:21:15%20GMT	http://www.themestarz.net/html/universo/assets/img/image-03.jpg	C:/My%20Web%20Sites/univercityAdd/www.themestarz.net/html/universo/assets/img/image-03.jpg	(from http://www.themestarz.net/html/universo/index2.html)
